abstract,new_old,serious
present case fatal intoxication application transdermal fentanyl patch upon superficial bleeding abrasion NUM-year-old girl  grandmother discovered body child bed approximately NUM m  external examination revealed properly developed  nourished  hydrated child  vomit nostrils inside mouth  evidence trauma besides small contusions abrasions knees  patch placed largest abrasion  closer inspection revealed transdermal fentanyl patch  internal examination microscopic analysis revealed regurgitation stomach content  cerebral pulmonary edema  liver congestion  toxicology analysis revealed trace levels fentanyl blood limit detection  NUM ng ml   concentrations urine  liver  kidney approximately NUM  NUM  NUM ng ml  respectively  investigation discovered child injured knee playing evening  grandmother applied patch cover injury  unaware used fentanyl transdermal patch instead simple band-aid  although fatal intoxications uncommon among young children high-income countries  major interest raise awareness events especially since great majority preventable  presented case points need thorough education users strict rules prescribing handling potent medicine  well  find case useful contribution evaluation postmortem fentanyl concentrations fatal intoxication small child,old,Serious
food allergy increasing prevalence  result  intense focus developing safe effective therapies  current methods specific immunotherapy include oral  sublingual  epicutaneous  nonspecific methods investigated include  chinese herbal medicine  probiotics  anti-ige antibodies  although studies demonstrated efficacy inducing desensitization  questions regarding safety potential achieving immune tolerance remain  although therapies demonstrate promise  investigation required incorporation routine clinical practice,old,Non-Serious
purposethe prevalence atrial fibrillation increases age  age-specific data incidence stroke death anticoagulated patients atrial fibrillation limited  particularly regard comparisons relative risks clinical outcomes different age strata relation quality anticoagulation control among warfarin users methodswe investigated incidence adverse outcomes tertiles age groups  age   NUM  n NUM   age  NUM-NUM  n NUM   age   NUM  n NUM   NUM patients atrial fibrillation participating warfarin arm amadeus  evaluating use srNUM compared warfarin acenocoumarol patients atrial fibrillation  trial  average time therapeutic range calculated measure anticoagulation control related clinical outcomes resultsabsolute rates stroke systemic embolism  sse   cardiovascular death  clinically relevant bleeding increased increasing age strata  combined end point cardiovascular death sse highest top tertile  adjusted hazard ratio  NUM NUM  NUM  confidence interval  NUM NUM-NUM NUM  compared middle lowest tertiles  p trend NUM NUM   bleeding  significant difference relative risks age strata  p trend NUM NUM warfarin group warfarin group time therapeutic range  NUM   p trend NUM NUM   quality anticoagulation control  time therapeutic range  significantly correlated clinically relevant bleeding  r -NUM NUM  p NUM NUM  cardiovascular death sse rates  r -NUM NUM  p NUM NUM  conclusionselderly patients atrial fibrillation higher absolute risks cardiovascular death  sse  bleeding  relative risks clinically relevant bleeding significantly different increasing age strata  significant inverse relationship time therapeutic range bleeding cardiovascular death sse emphasizes importance good quality anticoagulation control,old,Serious
aimto evaluate efficacy safety esomeprazole-based triple therapy compared lansoprazole therapy first-line eradication therapy patients helicobacter pylori  h  pylori  usual post-marketing use japan  clarithromycin  cam  resistance rate NUM  methodsfor multicenter  randomized  open-label  non-inferiority trial  recruited patients    NUM years age  h  pylori infection NUM hospitals japan  randomly allocated patients esomeprazole therapy  esomeprazole NUM mg  cam NUM mg  amoxicillin  ac  NUM mg first NUM d  drugs given twice daily  lansoprazole therapy  lansoprazole NUM mg  cam NUM mg  ac NUM mg first NUM d  drugs given twice daily  using minimization method age  sex  institution adjustment factors  primary outcome eradication rate intention-to-treat  itt  per-protocol  pp  analyses  h  pylori eradication confirmed urea breath test NUM NUM wk cessation therapy resultsitt analysis revealed eradication rates NUM NUM   NUM ci  NUM NUM -NUM NUM   esomeprazole therapy NUM NUM   NUM ci  NUM NUM -NUM NUM   lansoprazole therapy  p   NUM NUM   pp analysis showed eradication rate NUM NUM   NUM ci  NUM NUM -NUM NUM   esomeprazole therapy NUM NUM   NUM ci  NUM NUM -NUM NUM   lansoprazole therapy  p   NUM NUM   differences adverse effects two therapies conclusionesomeprazole showed non-inferiority safety NUM day-triple therapy eradication h  pylori compared lansoprazole,old,Serious
case series reviews two cases elderly patients found pneumatosis intestinalis imaging  two clinical presentations differed one another  however  managed conservatively good effect  case one patient presented abdominal pain  change bowel habit weight loss  case two patient presented problematic diarrhoea  reduced oral intake  lethargy weight loss  patients haemodynamically stable neither abnormal abdominal examination  case NUM started oral metronidazole day NUM treatment resolution pneumatosis abdominal x-ray diarrhoea settled  two cases illustrate benefit conservative management avoidance unnecessary surgical intervention primary pneumatosis intestinalis  however  important distinguish benign causes pneumatosis intestinalis life-threatening surgery may necessary,old,Non-Serious
therapeutic voriconazole concentrations narrow window effectiveness voriconazole causes cholestatic hepatitis case presentationafter one year voriconazole therapy pulmonary aspergillosis  NUM-year-old male began NUM mg lansoprazole gastroesophegal reflux symptoms  within five days presented fatigue  jaundice cholestatic hepatitis  hepatitis promptly resolved stopping lansoprazole  sixteen months later  given simvastatin recommended american diabetes association diabetic patients age NUM one additional risk factor prevent cardiovascular disease  within NUM-weeks taking simvastatin  patients redeveloped fatigue  jaundice cholestatic hepatitis  patient described episodes fatigue jaundice similar onset intensity conclusionvoriconazole metabolized cytochrome pNUM NUMcNUM NUMaNUM isoenzymes  lansoprazole inhibitor NUMcNUM isoenzyme  likely competition voriconazole lansoprazole led increase voriconazole serum concentration acute cholestatic hepatitis  simvastatin inhibits pNUM NUMaNUM isoenzyme  NUM mg simvastatin day two weeks  cholestatic hepatitis occurred  voriconazole concentration remained elevated  NUM NUM ug ml  measured NUM-days stopping simvastatin  use naranjo probability scale revealed cholestatic hepatitis probably precipitated lansoprazole  score NUM   likewise  naranjo probability scale revealed cholestatic hepatitis definite  score NUM  adverse drug reaction precipitated addition simvastatin stable baseline regimen voriconazole  single patient  two different inhibitors pNUM pathway  voriconazole induced cholestatic hepatitis occurred twice  major pNUM pathway metabolism clearance lansoprazole simvastatin different  likely contributed reduced hepatic clearance voriconazole  two independent periods  increased voriconazole concentration resulted cholestatic hepatitis within NUM-NUM weeks therapy  resolved stopping offending medications,old,Serious
hereby describe case report NUM-month-old girl  accidentally intoxicated digoxin since parents mistake gave digoxin instead propranolol  admission sinusbradycardia first-degree atrioventricular block found treated antidigitalis fab-fragment atropine  three days hospitalization discharged well-being  suspect explanation intoxication due confusion bottles magistral preparations medicine  identical  therefore call increased attention children receiving type medicine,old,Serious
headaches resulting proton pump inhibitor  ppi  use could cause discontinuation ppi many NUM  patients experience headaches  previous studies focusing acute headache risk ppi use rare limited clinical trials single ppi objectivesto investigate association ppi use headache nationwide population-based case-crossover study methodsrecords containing first diagnosis headache  including migraine tension-type headaches  retrieved taiwan national health insurance database  NUM-NUM   compared rates ppi use cases controls time windows NUM  NUM  NUM days  adjusted self-matched odds ratios  ors  NUM  confidence intervals  cis  conditional logistic regression model used determine association ppi use headache resultsoverall  NUM NUM patients initial diagnosis headache study period enrolled  adjusted ors headache risk ppi exposure calculated three time periods  within NUM days NUM NUM  p NUM NUM  NUM  ci NUM NUM-NUM NUM  within NUM days NUM NUM  p NUM NUM  NUM  ci NUM NUM-NUM NUM  within NUM days NUM NUM  p NUM NUM  NUM  ci NUM NUM-NUM NUM   subgroup analyses showed female patients increased risk headache  among ppis  lansoprazole esomeprazole highest risks headache incidence  similar nitrates conclusionppi usage associated increased risk acute headache  female patients use lansoprazole esomeprazole present greatest risks headache,old,Non-Serious
transdermal fentanyl patches used frequently management acute chronic pain  adverse events use  particular overdose  uncommon  describe case fentanyl overdose transdermal patch placed five-day old tattoo  report review pharmacology transdermal fentanyl physiology tattooing  well potential link two  may lead overdose,old,Serious
case report describes patient developed severe bradycardia due transdermal fentanyl  prior case reports occurring palliative care  frequency association fentanyl bradycardia anesthesia setting suggests may common realized  palliative care settings often policy routinely checking vital signs  symptoms bradycardia could misinterpreted dying process case presentationa patient recurrent ovarian cancer admitted nausea abdominal pain due bowel obstruction fever urinary tract infection  switch injectable hydromorphone transdermal fentanyl resulted symptomatic severe bradycardia within NUM h  without signs opioid toxicity good analgesic effect case managementthe fentanyl patch removed  atropine required case outcomethe patient made uneventful recovery  transdermal buprenorphine subsequently used satisfactorily long-term pain control  additional hydromorphone needed conclusionsthe delayed absorption fentanyl via transdermal route makes early identification fentanyl-induced bradycardia key prompt reversal  patients resting relative bradycardia may higher average risk,old,Serious
bilateral leg edema frequent symptom older people important concern geriatric medicine  evaluation frequently performed simple therapy diuretics prescribed  particularly older patients  long-term use diuretics lead severe electrolyte imbalances  volume depletion  falls  case report want focus physicians  attention necessity determine cause show correspondingly effective treatment bilateral leg edema older people  thorough approach required recognize diseases avoid adverse drug events geriatric patients often show atypical presentation minor symptoms  cause swollen legs often multifactorial  therefore  patient individual history appropriate physical examination important  depending clinical symptoms  evaluation including basic laboratory tests  urinalysis  chest radiography  echocardiogram may indicated  probable cause bilateral edema older patients chronic venous insufficiency  heart failure also common cause  systemic causes renal disease liver disease much rarer  antihypertensive anti-inflammatory drugs frequently cause leg edema  incidence drug-induced leg swelling unknown  help special case tried develop approach diagnosis symmetric leg edema older patients  problem frequently neglected geriatric medicine,old,Serious
high anion gap metabolic acidosis  hagma  commonly encountered medical practice  often associated lactic acid  renal failure  diabetic ketoacidosis poisoning methanol  parald  hydes  iron  ethylene glycol salicylates  etiologies recalled english mnemonic gmudpilesg  part emergency  usually sufficient label hagma  however  take account many etiologies  rare cases hagma related accumulation organic inorganic acids  enzyme defects  NUM-glutamyl cycle disorders  described frequently children  cause hagma accumulation NUM-oxoproline  NUM-oxp   pyroglutamic acid   hagma induced acetaminophen  ac  little known  usually attributed transient lactic acidosis without injury liver failure  ac consumption  high urinary NUM-oxp reported mainly female patients  predisposing factors malnutrition  liver disease  pregnancy renal impairment  present case NUM-year-old patient presented hagma following accumulation NUM-oxp malnutrition chronic ingestion ac  treatment NUM-oxp acidosis ac overdose includes stopping drug involved  administration bicarbonate n-acetylcysteine  nac   although evidence effectiveness therapies proven,old,Non-Serious
population-based data exist birth outcomes women received opioid maintenance treatment pregnancy  therefore examined adverse birth outcomes women exposed methadone buprenorphine pregnancy risk neonatal abstinence syndrome  nas  among neonates exposed buprenorphine  methadone  heroin utero patients methodsthis study included female danish residents live birth stillbirth NUM NUM  identified study population  use opioids opioid substitution treatment  birth outcomes  nas medical registers  birth outcomes included preterm birth  born NUMth gestational week   low-birth weight  lbw    NUM NUM g  restricted term births   small gestational age  sga   weight  NUM standard deviations sex- gestational-week-specific mean   congenital malformations  stillbirths  used log-binomial regression estimate prevalence ratio  pr  birth outcomes resultsamong NUM NUM pregnancies total NUM NUM women  identified NUM pregnancies exposed buprenorphine  methadone  heroin  NUM buprenorphine  NUM methadone  NUM self-reported heroin  NUM combinations   compared nonexposed pregnancies  prenatal opioid use associated greater prevalence preterm birth  pr NUM NUM  NUM  confidence interval  ci   NUM NUM-NUM NUM    lbw among infants born term  pr NUM NUM  NUM  ci  NUM NUM-NUM NUM    sga  pr NUM NUM  NUM  ci  NUM NUM-NUM NUM    restricting analyses women smoked slightly lowered estimates  prevalence congenital malformations NUM NUM  opioid-exposed women compared NUM NUM  nonexposed women  pr NUM NUM  NUM  ci  NUM NUM-NUM NUM    risk nas ranged NUM  neonates exposed buprenorphine NUM  neonates exposed methadone opioid combinations conclusionthe maternal use buprenorphine methadone pregnancy associated increased prevalence adverse birth outcomes  increase could explained smaller extent increased prevalence smoking  risk nas eight-fold higher methadone-exposed neonates buprenorphine-exposed neonates  difference may least partly explained differences underlying indications  analgesic versus opioid maintenance treatment  two groups,old,Non-Serious
nimesulide selective inhibitor enzyme cyclooxygenase NUM  although considered safe drug  cases acute hepatitis fulminant liver failure reported europe  united states south america  especially among elderly female patients   reports literature relating brazilian subjects case reportan NUM-year old female using nimesulide therapy six days presented hematemesis epistaxis two days hospitalization  clinical examination showed extensive coagulation disorder  diffuse hematomas  hypotension tachypnea  laboratory tests revealed abnormalities coagulation tests  leukocytosis  reduced platelet  hemoglobin red blood cell counts  elevated direct bilirubin  serum aspartate transaminase  ast   gamma-glutamyl transpeptidase  ggt   alkaline phosphatase renal function biomarkers  hepatitis b c tests reactive  carcinoembryonic antigen  cea   ca-NUM-NUM ca-NUM levels increased  respectively  NUM NUM  NUM NUM NUM fold  whereas alpha-fetoprotein level normal  thus indicating malignant tumor bile duct originate liver  thirty-six hours hospitalization  patient condition worsened  leading death  necropsy findings included acute hepatitis hepatocellular collapse  well metastasis carcinoma  probably bile duct conclusiondespite carcinoma presented patient  nimesulide use may contributed towards fatal acute liver failure  issue clarified  caution required prescribing nimesulide liver disease patients,old,Serious
proton pump inhibitors  ppi  widely used patients systemic sclerosis  ssc  due chronic gastroesophageal reflux  authors report female patient NUM-year history ssc long-term use omeprazole  complained paresthesia asthenia NUM months  physical examination revealed clinical signs hypocalcaemia confirmed laboratory tests also showed hypomagnesaemia  exclusion possible causes  hypomagnesaemia secondary ppi diagnosed omeprazole replaced histamine hNUM-receptor antagonist  ranitidine  despite continuous magnesium supplementation  reintroduction ppi lower dose due worsening dyspeptic symptoms led recurrence hypomagnesaemia  definitive suspension ppi  reintroduction ranitidine optimisation anti-reflux environmental measures  patient stabilised  conclusion  ssc patients using ppis magnesium calcium serum levels measured periodically  non-specific symptoms asthenia  generalised paresthesia life-threatening manifestations  seizures  arrhythmias  neglected,old,Serious
mixed antihypertensive drug intoxication poses significant risk patient mortality  tandem antihypertensives  hypolipidemic medicines  especially statins  often prescribed  among well-known adverse effects belongs rhabdomyolysis  report case fatal multi-drug overdose NUM-year-old female alcoholic  patient unconscious admission  empty blister packs indicated abuse NUM tablets urapidil  NUM tablets verapamil trandolapril  NUM tablets moxonidin  NUM tablets atorvastatin NUM tablets diacerein  standard measures  gastric lavage  activated charcoal  mechanical ventilation  massive doses vasopressors  volume expansion  diuretics alkalinization  failed provide sufficient drug elimination hemodynamic support sufferer deceased fourth day  dramatic elevations serum myoglobin  NUM NUM g l  creatine kinase  NUM kat l  accompanied rise cardiac troponin creatinine  gas chromatography revealed ethanol NUM NUMg kg  blood  NUM NUMg kg  urine   thin layer chromatography gas chromatography gastric content urine verified verapamil  moxonidin urapidil fragment  diacerein method unavailable   atorvastatin trandolapril concentrations  lc-ms n   equaled NUM NUM g l NUM NUM g l  resp   serum  NUM NUM g l NUM NUM g l  resp   urine   histology confirmed precipitates myoglobin acute necrosis proximal renal tubules association striated muscle rhabdomyolysis myocardial dystrophy  cardiogenic-distributive shock conjunction acute renal failure due combined self-poisoning vasoactive agents atorvastatin determined decedent immediate cause death  manner death assigned suicidal,old,Death / Life Threatening
use direct oral anticoagulants  doacs  patients undergoing elective direct current  dc  cardioversion non-acute atrial fibrillation  af  potentially shorten time initiation anticoagulation treatment cardioversion  compared warfarin  safety strategy needs investigated  data subgroup analysis clinical trials doac clarify whether NUM-week treatment doac sufficient prevent thromboembolism  te  cardioversion  retrospective study assess incidence te anticoagulant naive patients converted one month pre-treatment dabigatran methods resultswe scrutinized medical records NUM patients dabigatran used prior elective dc cardioversion  transoesophageal echocardiography rarely performed  thromboembolism within NUM days cardioversion primary endpoint  total NUM patients naive oac dabigatran initiated  mean age group NUM NUM  à NUM years NUM NUM  women  mean chaNUMdsNUM-vasc score NUM NUM  à NUM NUM  dose dabigatran NUM mg b d  NUM  patients  median time initiation dabigatran cardioversion NUM NUM  à NUM days  NUM  cardioversion resulted sinus rhythm  NUM-day follow-up  three te occurred incidence NUM NUM   NUM NUM-NUM NUM  conclusionin retrospective study clinical material  found low incidence te dabigatran used te prophylaxis association elective cardioversion  results indicate dabigatran safe alternative strategy warfarin cardioversion patients af,old,Serious
proton pump inhibitors  ppis  rare cause hypersensitivity reactions  considering widely prescribed  study describe case series six patients  confirmed ige-mediated allergy ppis  method  retrospective analysis clinical files results skin testing  skin prick tests  spt  performed omeprazole NUM mg ml  esomeprazole NUM mg ml pantoprazole NUM mg ml  intradermal tests  idt  carried NUM NUM  NUM NUM NUM NUM dilutions  patients underwent extended allergological workup rule hypersensitivity agents  antibiotics non-steroidal anti-inflammatory drugs  food allergy  shellfish   whether taken time  results  studied six patients  five anaphylaxis  including two loss consciousness  mean age NUM  NUM NUM  years  four male three patients atopic  allergic rhinitis  interval drug exposure reaction range  NUM min NUM h  median NUM min   considering drug involved  three taken pantoprazole  two taken omeprazole one taken esomeprazole  last one developed two anaphylactic reactions consecutive days  presented generalized urticaria one year omeprazole  two  six anaphylactic reactions  administered epinephrine  two patients positive spt esomeprazole omeprazole  idt positive pantoprazole NUM NUM dilution two patients  pantoprazole NUM NUM dilution two patients omeprazole NUM NUM dilution two patients  patient without anaphylactic reaction  presented generalized urticaria pantoprazole  confirmed positive idt  challenged esomeprazole  negative idt  allergic reaction  patients tolerated hNUM-receptor antagonists  conclusion  hypersensitivity reactions ppis rare  although responsible anaphylactic reactions  drugs commonly taken meals combined drugs prone cause allergic reactions  high level suspicion awareness unsuspected drugs essential perform accurate diagnosis  skin tests reliable confirm ige-mediated reactions assess potential crossreactivity  cross-reactivity among whole group presumed,old,Non-Serious
reports anaphylaxis due double administration drugs provoking ige mediated reactions  dipyrone frequently nsaid eliciting ige specific reactions  pantoprazole inhibitor parietal cell enzyme h  k  adenosine triphosphatase excellent tolerability safety  immediate-type hypersensitivity reactions induced proton pump inhibitors  ppi  infrequent  cases anaphylactic reactions induced omeprazole ppi  apparently due ige-mediated mechanism  report case anaphylaxis related administration dipyrone pantoprazole showing transitory increase serum tryptase level  method  NUM-y-o woman referred emergency unit due acute abdominal pain  immediately iv administration pantoprazole NUM mg dipyrone NUM mg  showed severe hypotension  dyspnea urticaria  reaction treated im epinephrine  iv corticosteroids antihistamines volume expanders  serial serum samples drawn order measure tryptase levels  full recovery patient referred allergic evaluation including skin tests bat pantoprazole  omeprazole ppi dipyrone  results  serum tryptase levels NUM NUM micrg l NUM NUM micrg l  NUM NUM h onset anaphylactic reaction  baseline tryptase level NUM micrg l  id results positive omeprazole  NUM  NUM mm  pantoprazole  NUM NUM mm   histamine control  NUM NUM mm  performed dipyrone  may easily avoided   bat positive concentrations pantoprazole  cNUM  NUM NUM mg ml-activation NUM   cNUM  NUM NUM mg  ml-activation NUM NUM   dipyrone  cNUM NUM mg ml-activation NUM NUM   cNUM NUM mg  ml-activation NUM NUM    baseline activation NUM NUM   conclusion  drug induced severe allergic reactions difficult investigate vivo tests free risk  measurement serum tryptase helpful establish diagnosis anaphylaxis  performance ex-vivo tests bat offer new tool etiological diagnosis multiple drug allergies  avoiding cases performance skin tests,old,Serious
nocardiosis rare opportunistic infection caused nocardia spp  ubiquitous aerobic actinomycete mainly affects patients cell-mediated immunity defect  including chronic pulmonary disease  lungs primary site nocardial infection two-thirds cases pulmonary nocardiasis may mimic present exacerbation known underlying lung disease  since rare diverse disease  prospective randomized trials determined effective therapy nocardiosis  report case successful treatment pulmonary nocardiasis using linezolid  case report  male  NUM years old  diagnosed primary ciliary dyskinesia NUM years old  presented worsening cough sputum  associated sporadic fever weight loss  chest ct reveled aggravation bronchiectasis mucoid impactation  diffuse nodular pulmonary opacities  bronchoalveolar lavage performed  positive cultures gram positive bacillus branching filaments suggesting nocardia  first treatment choice sulfamethoxazole trimethoprim  interrupted due severe allergic reaction  antibiogram showed sensitivity different drugs  initiated amoxicillin clavulanate  followed ciprofloxacin clarithromycin  suspended allergic reactions  patient deteriorating clinically radiologically  hence decided start linezolide concomitante sulfamethoxazole trimethoprim desensitization  month use linezolid  patient improved dyspnea  asthenia  sputum gained weight  besides presenting radiological improvement  total time linezolid used NUM months  periodic normal platelet count adverse reactions reported  switch sulfamethoxazole trimethoprim desensitization  conclusion  high percentage nocardia isolates sensitive trimethoprim-sulfamethoxazole  tmp-smx  vitro still first-line agents treatment  also demonstrated nocardia sensitive linezolid vitro  although often used given risk hematological toxicity NUM weeks therapy  considering successful presented case report  linezolid may safe alternative choice treatment nocardiosis,old,Non-Serious
case report literature research focused theophylline intoxication presented  high risk theophyllin overdosing due narrow therapeutic range  intoxication cause life threatening state requiring adequate treatment  gastrointestinal cardiovascular symptoms frequent  tachyarrhythmias respond betablockers  titration intravenous esmolol may advantageous haemodynamically unstable patient  therapy directed symptom severity theophyline plasma level,old,Serious
risk bleeding due anticoagulation therapy warfarin rises exponentially  international normalized ratio  inr  exceeds NUM NUM  present NUM-year-old male admitted hospital severe bleeding lower limbs caused warfarin  laboratory tests showed therapeutic inr  NUM NUM   however activated partial tromboplastin time unusually prolonged  NUM sec   severe  reversible reduction factor ix detected  findings suggestive mutation factor ix propeptide  thrombocytopathy induced selective serotonin re-uptake inhibitors could worsened bleeding,old,Serious
case report NUM-year-old man warfarin treatment stable international normalised ratio  inr  aortic valve replacement atrial fibrillation  due back pain took paracetamol  acetaminophen  NUM g day  morphine NUM mg day diclofenac rescue medication two weeks  NUM days treatment admitted hospital acute neurological deficits  blood sample showed inr levels NUM  ct-scan brain showed intracerebral haemorrhage  patient died eight days admission  mechanisms possible interaction paracetamol warfarin discussed,old,Death / Life Threatening
buprenorphine frequently used opioid treatment neuropathic pain component often present patients cancer  case NUM-year-old patient depicted whose pain syndrome associated chondrosarcoma growth originating sacral bone numerous surgical interventions radiotherapy  improvement analgesia good toleration therapy observed switching transdermal fentanyl transdermal buprenorphine maintaining treatment antidepressants anticonvulsants  case report indicates possibility safe switch transdermal opioids home  may provide benefits terms analgesia adverse effects consequence positive impact patients  quality life  also accompanied constant psychological  social  spiritual support provided patient family,old,Non-Serious
backgroundthe treatment newly diagnosed type NUM diabetes mellitus diverse  clear consensus regarding initial drug regimen dosing achieve optimal glycemic control methodswe treated NUM consecutive patients newly diagnosed type NUM diabetes maximally tolerated doses pioglitazone NUM mg day  metformin NUM-NUM mg day  repaglinide NUM-NUM mg meals  doses drugs subsequently decreased   subtraction therapy   achieve optimal glycemic control minimize side effects  three primary outcomes measured  short term hbaNUMc response  long term hbaNUMc response  incidence hypoglycemia resultsall NUM patients responded rapid  progressive decline hbaNUMc levels NUM NUM àNUM NUM  NUM NUM àNUM NUM   NUM àNUM NUM mmol mol NUM àNUM NUM mmol mol  three months  remained stable thereafter  hbaNUMc  NUM NUM    NUM mmol mol  reached within NUM-NUM months NUM NUM patients  every patient NUM months  patient lowest hbaNUMc level  NUM NUM àNUM NUM   NUM àNUM NUM mmol mol   reached NUM NUM àNUM NUM months  patients initial hbaNUMc levels  NUM    NUM mmol mol   n NUM  responded similarly hbaNUMc levels  NUM    NUM mmol mol   n NUM   combination drug therapy maintained hbaNUMc levels NUM NUM NUM NUM   NUM NUM mmol mol  NUM NUM years  one clinically significant hypoglycemic event occurred NUM NUM person-years follow-up conclusionsin experience  combination drug  subtraction therapy  safe effective treating newly diagnosed type NUM diabetic patients,old,Serious
introductiontreatment warfarin combination clopidogrel shown reduce incidence major bleeding compared triple antithrombotic therapy  tt  warfarin  clopidogrel aspirin   however  uncertainties regarding risk thrombosis since poor-responsiveness clopidogrel common  ticagrelor potent platelet inhibitor  data supporting concurrent use ticagrelor warfarin  dual antithrombotic therapy  dt  limited  study therefore sought evaluate risk bleeding thrombosis associated dt acute coronary syndrome  acs  materials methodswe identified acs patients dt upon discharge helsingborg hospital sk ne university hospital malm  lund  sweden  NUM  patients dt compared historical controls discharged tt  major bleeding defined accordance has-bled derivation study  patients retrospectively followed three months resultsin total  NUM dt patients identified compared NUM controls tt  mean has-bled bleeding risk score duration treatment similar groups  has-bled NUM NUM  -NUM NUM vs NUM NUM  -NUM NUM units  p ns  duration NUM NUM  -NUM NUM vs NUM NUM  -NUM NUMmonths  p ns  dt vs tt   incidence spontaneous major bleeding similar groups  composite thrombotic events  e  peripheral embolism  stroke tia acute coronary syndrome  bleeding NUM NUM  NUM NUM   vs NUM NUM  NUM NUM    p ns  thrombosis NUM NUM  NUM NUM   vs NUM NUM  NUM NUM    p ns  dt vs tt  conclusionsrates thrombotic bleeding events similar patients tt patients ticagrelor warfarin,old,Serious
concept pancreatic exocrine insufficiency  pei  diabetes new  however  diagnosis often missed  NUM-year-old female first presented gp may NUM indigestion-like symptoms  failed resolve omeprazole  weight NUM kg oesophago-gastro-duodenoscopy  ogd  showed small hiatus hernia NUM cm barrett oesophagus  past medical history included type NUM diabetes  NUM   combined hyperlipidaemia  NUM  ckd stage NUM  NUM   glycaemic control stable metformin NUM mg twice daily deteriorated NUM  addition gliclazide stopped due side effects  pioglitazone linagliptan resulted minimal improvement hbaNUMc  abdominal bloating  stomach cramps diarrhoea became prominent symptoms  metformin discontinued treated empirically urinary tract infections  subsequent months  diarrhoea became offensive requiring daily incontinence pads became housebound  may NUM  weight NUM NUM kg  diagnosis irritable bowel disease  ibd  given following repeat ogd normal colonoscopy  march NUM  referred specialist diabetes clinic  weight NUM NUM kg  ct showed chronic inflammation calcification pancreas  vitamin d NUM nmol l calcium NUM NUM nmol l  hb NUM g l  faecal elastase  NUM  dexa scan showed osteopenia  insulin pancreatic enzyme replacement started resulting improvement glycaemic control  diarrhea weight gain  gastrointestinal symptoms extremely common diabetes  however  part routine review rarely enquire gastrointestinal symptoms focused upon within national international guidelines management diabetes  pei looked people present diabetes ibd,old,Non-Serious
medicaid covers high-risk population typically underrepresented clinical trial data largely absent observational studies real-world cardiovascular risks associated thiazolidinediones  tzds   pioglitazone rosiglitazone  used manage type NUM diabetes  november NUM  fda removed prescribing restrictions rosiglitazone light new evidence rosiglitazone increase risk heart attack compared standard type NUM diabetes medications  investigation needed elucidate whether risk heart failure  hf  associated tzds may exacerbated medicaid population objectiveto determine relative risk incident hf patients initiating rosiglitazone  pioglitazone  metformin therapy medicaid population methodswe retrospectively examined claims data patients type NUM diabetes enrolled maryland state medicaid managed care fee-for-service programs july NUM june NUM  patients initiated metformin  pioglitazone  rosiglitazone treatments extracted analysis  relative risks incident hf initiating treatment compared using survival analysis  adjusting switching adding antidiabetic therapies follow-up baseline risk factors hf resultsof NUM NUM patients meeting inclusion criteria  NUM  started metformin  NUM  started pioglitazone  NUM  started rosiglitazone  patients initiated rosiglitazone higher risk hf patients initiated metformin using either univariate  hr   NUM NUM  NUM  ci   NUM NUM-NUM NUM   multivariate  hr   NUM NUM  NUM  ci   NUM NUM-NUM NUM   propensity score-matched  hr   NUM NUM  NUM  ci   NUM NUM-NUM NUM  analysis  significant difference risk patients initiated pioglitazone metformin therapy conclusionscompared metformin  may higher risk developing hf medicaid patients started rosiglitazone pioglitazone  pioglitazone associated lower risk developing hf compared rosiglitazone  health care professionals continue work closely patients determine treatment options appropriate,old,Serious
explore predictive value baseline plasma midregional fragment pro-adrenomedullin level  mr-proadm  long-term survival postural tachycardia syndrome  pots  children treated midodrine hydrochloride  methods fifty-three children  male NUM  mean age NUM NUM  à NUM NUM  years old  pots included study  diagnosed pots department december NUM january NUM  fifty-three children pots divided two groups according baseline plasma content mr-proadm  group consisted NUM pots children plasma content mr-proadm   NUM  NUM ng l  group ii consisted NUM pots children plasma content mr-proadm   NUM NUM ng l  mean follow-up time  NUM  à NUM  months  orthostatic intolerance symptom score symptom free survival compared NUM groups  results NUM months follow-up  symptom score children group significantly lower group ii   NUM  NUM-NUM  p  NUM NUM   NUM months follow symptom score similar NUM groups   NUM  NUM  NUM  p  NUM NUM  symptom free survival group significantly higher group ii   NUM   NUM  NUM  p   NUM NUM   conclusion baseline plasma mr-proadm level value predicting long-term survival pots children treated midodrine hydrochloride,old,Non-Serious
NUM-year-old woman admitted intensive care unit monitoring underlying heart problems  initially  admitted hospital due infected knee prosthesis  already received intravenous flucloxacillin several weeks developed decompensated heart failure  awaiting coronary bypass unusual cause high anion gap metabolic acidosis diagnosed  reason unusual metabolic acidosis appeared accumulation NUM-oxoproline pyroglutamic acid  cause accumulation turned intravenous flucloxacillin combination chronic ingestion acetaminophen common risk factors intensive care unit  malnutrition severe illness,old,Serious
